Sample,ECG,Filtered,Derivative,Squared,Integrated,Peak,BPM,Arrhythmia
          0,  -145,  -145,     0,         0,         0,0,  0,1
          1,  -145,     0,  -145,         0,         0,0,  0,1
          2,  -145,  -145,     0,      1160,         0,0,  0,1
          3,  -145,  -145,     0,         0,       290,0,  0,1
          4,  -145,  -145,  -145,         0,       290,0,  0,1
          5,  -145,  -145,     0,      1160,       290,0,  0,1
          6,  -145,  -145,     0,         0,       580,0,  0,1
          7,  -145,  -145,     0,         0,       290,0,  0,1
          8,  -120,  -120,     0,         0,       290,0,  0,1
          9,  -135,  -160,    25,         0,       290,0,  0,1
         10,  -145,  -130,   -15,       200,         0,0,  0,1
         11,  -150,  -140,   -10,       120,        50,0,  0,1
         12,  -160,  -155,    20,        80,        80,0,  0,1
         13,  -155,  -145,   -25,       160,       100,0,  0,1
         14,  -160,  -165,    -5,       200,       140,0,  0,1
         15,  -175,  -170,   -10,        40,       140,0,  0,1
         16,  -180,  -165,   -25,        80,       120,0,  0,1
         17,  -185,  -180,     0,       200,       120,0,  0,1
         18,  -170,  -165,   -10,         0,       130,0,  0,1
         19,  -155,  -170,     0,        80,        80,0,  0,1
         20,  -175,  -190,    10,         0,        90,0,  0,1
         21,  -180,  -160,   -25,        80,        70,0,  0,1
         22,  -190,  -185,    10,       200,        40,0,  0,1
         23,  -180,  -170,     5,        80,        90,0,  0,1
         24,  -155,  -165,   -10,        40,        90,0,  0,1
         25,  -135,  -160,    20,        80,       100,0,  0,1
         26,  -155,  -175,    10,       160,       100,0,  0,1
         27,  -190,  -170,   -10,        80,        90,0,  0,1
         28,  -205,  -170,   -10,        80,        90,0,  0,1
         29,  -235,  -220,     5,        80,       100,0,  0,1
         30,  -225,  -195,   -50,        40,       100,0,  0,1
         31,  -245,  -255,   -25,       400,        70,0,  0,1
         32,  -250,  -230,   -35,       200,       150,0,  0,1
         33,  -260,  -255,   -35,       280,       180,0,  0,1
         34,  -275,  -265,     0,       280,       230,0,  0,1
         35,  -275,  -260,   -35,         0,       290,0,  0,1
         36,  -275,  -275,    -5,       280,       190,0,  0,1
         37,  -265,  -265,   -10,        40,       210,0,  0,1
         38,  -255,  -265,    -5,        80,       150,0,  0,1
         39,  -265,  -275,    10,        40,       100,0,  0,1
         40,  -275,  -265,   -10,        80,       110,0,  0,1
         41,  -290,  -280,     0,        80,        60,0,  0,1
         42,  -290,  -275,    -5,         0,        70,0,  0,1
         43,  -290,  -290,   -10,        40,        50,0,  0,1
         44,  -290,  -290,   -10,        80,        50,0,  0,1
         45,  -285,  -285,   -15,        80,        50,0,  0,1
         46,  -295,  -300,     5,       120,        50,0,  0,1
         47,  -305,  -295,   -10,        40,        80,0,  0,1
         48,  -285,  -275,   -10,        80,        80,0,  0,1
         49,  -275,  -295,    25,        80,        80,0,  0,1
         50,  -275,  -285,     0,       200,        80,0,  0,1
         51,  -280,  -280,   -10,         0,       100,0,  0,1
         52,  -285,  -280,    15,        80,        90,0,  0,1
         53,  -305,  -300,     5,       120,        90,0,  0,1
         54,  -290,  -270,   -20,        40,       100,0,  0,1
         55,  -300,  -315,    10,       160,        60,0,  0,1
         56,  -280,  -270,   -15,        80,       100,0,  0,1
         57,  -290,  -310,     0,       120,       100,0,  0,1
         58,  -300,  -290,     5,         0,       100,0,  0,1
         59,  -315,  -305,   -20,        40,        90,0,  0,1
         60,  -320,  -305,     5,       160,        60,0,  0,1
         61,  -335,  -330,   -15,        40,        80,0,  0,1
         62,  -360,  -345,   -25,       120,        60,0,  0,1
         63,  -385,  -360,   -40,       200,        90,0,  0,1
         64,  -385,  -360,   -30,       320,       130,0,  0,1
         65,  -405,  -405,   -15,       240,       170,0,  0,1
         66,  -455,  -435,   -45,       120,       220,0,  0,1
         67,  -485,  -435,   -75,       360,       220,0,  0,1
         68,  -485,  -455,   -30,       600,       260,0,  0,1
         69,  -425,  -425,   -20,       240,       330,0,  0,1
         70,  -330,  -390,    10,       160,       330,0,  0,1
         71,  -220,  -315,    65,        80,       340,0,  0,1
         72,   -70,  -180,   110,       520,       270,0,  0,1
         73,   120,   -30,   210,       880,       250,0,  0,1
         74,   375,   185,   285,      1680,       410,0,  0,1
         75,   620,   365,   365,      2280,       790,0,  0,1
         76,   780,   535,   395,      2920,      1340,0,  0,1
         77,   840,   680,   350,      3160,      1940,0,  0,1
         78,   765,   705,   315,      2800,      2510,1,  0,1
         79,   520,   595,   170,      2520,      2790,1,  0,1
         80,   170,   415,   -85,      1360,      2850,1,  0,1
         81,  -165,   185,  -290,       680,      2460,1,  0,1
         82,  -365,   -30,  -410,      2320,      1840,1,  0,1
         83,  -435,  -235,  -445,      3280,      1720,1,  0,1
         84,  -425,  -355,  -420,      3560,      1910,1,  0,1
         85,  -370,  -380,  -325,      3360,      2460,1,  0,1
         86,  -330,  -385,  -145,      2600,      3130,1,  0,1
         87,  -325,  -365,   -30,      1160,      3200,1,  0,1
         88,  -335,  -340,    15,       240,      2670,1,  0,1
         89,  -345,  -335,    45,       120,      1840,1,  0,1
         90,  -330,  -320,    30,       360,      1030,1,  0,1
         91,  -325,  -340,    20,       240,       470,0,  0,1
         92,  -315,  -320,    -5,       160,       240,0,  0,1
         93,  -310,  -320,     0,        40,       220,0,  0,1
         94,  -320,  -325,    20,         0,       200,0,  0,1
         95,  -335,  -325,    -5,       160,       110,0,  0,1
         96,  -340,  -325,    -5,        40,        90,0,  0,1
         97,  -325,  -320,     0,        40,        60,0,  0,1
